PBD_On_1_Off_0,alpha,w_smooth_acceleration, w_col,w_comfort,Cheby_1_Or_Euclidean_2,%_liked
0.5,1,0,0.667,0.6,1,0.6
1,1,0,0.667,0.6,1,0.4
0.5,1,0,0.667,0.6,1,0.65
1,1,0,0.667,0.6,1,0.35
0.5,1,0,0.667,0.6,1,0.7
1,1,0,0.667,0.6,1,0.3
1,0,0,0.667,0.6,1,0.2
1,0.9009,0,0.667,0.6,1,0.27
1,1,0,0.667,0.6,1,0.553
1,0,0,0.667,0.6,1,0.2
1,0.9009,0,0.667,0.6,1,0.2
1,1,0,0.667,0.6,1,0.6
1,0,0,0.667,0.6,1,0.2
1,0.9009,0,0.667,0.6,1,0.35
1,1,0,0.667,0.6,1,0.45
1,1,1,0.667,0.6,1,0.23
1,1,0.5,0.667,0.6,1,0.18
1,1,0,0.667,0.6,1,0.59
1,1,1,0.667,0.6,1,0.19
1,1,0.5,0.667,0.6,1,0.24
1,1,0,0.667,0.6,1,0.57
1,1,1,0.667,0.6,1,0.27
1,1,0.5,0.667,0.6,1,0.24
1,1,0,0.667,0.6,1,0.49
1,1,0,1,0.6,1,0.208
1,1,0,0.667,0.6,1,0.604
1,1,0,0,0.6,1,0.188
1,1,0,1,0.6,1,0.396
1,1,0,0.667,0.6,1,0.229
1,1,0,0,0.6,1,0.375
1,1,0,1,0.6,1,0.042
1,1,0,0.667,0.6,1,0.75
1,1,0,0,0.6,1,0.208
1,1,0,0.667,0,1,0.3969
1,1,0,0.667,1,1,0.375
1,1,0,0.667,0.6,1,0.229
1,1,0,0.667,0,1,0.104
1,1,0,0.667,1,1,0.229
1,1,0,0.667,0.6,1,0.667
1,1,0,0.667,0,1,0.104
1,1,0,0.667,1,1,0.229
1,1,0,0.667,0.6,1,0.667
1,1,0,0.667,0,1,0.104
1,1,0,0.667,1,1,0.229
1,1,0,0.667,0.6,1,0.667
1,1,0,0.667,0.6,0,0.234
1,1,0,0.667,0.6,1,0.766
1,1,0,0.667,0.6,0,0.646
1,1,0,0.667,0.6,1,0.354
1,1,0,0.667,0.6,0,0.563
1,1,0,0.667,0.6,1,0.438